opcode,API importance,API importance (accurate)
PR_GET_DUMPABLE(0x3),1.000000,1-10^-28.596
PR_SET_NAME(0xf),1.000000,1-10^-22.083
PR_SET_KEEPCAPS(0x8),1.000000,1-10^-12.470
PR_GET_NAME(0x10),1.000000,1-10^-9.859
PR_SET_DUMPABLE(0x4),1.000000,1-10^-9.106
PR_SET_PTRACER(0x59616d61),1.000000,1-10^-8.547
PR_CAPBSET_DROP(0x18),0.999811,1-10^-3.723
PR_SET_PDEATHSIG(0x1),0.999774,1-10^-3.647
PR_GET_KEEPCAPS(0x7),0.999536,1-10^-3.333
PR_SET_NO_NEW_PRIVS(0x26),0.956747,1-10^-1.364
PR_SET_TIMERSLACK(0x1d),0.933817,1-10^-1.179
PR_SET_CHILD_SUBREAPER(0x24),0.932354,1-10^-1.170
PR_SET_SECCOMP(0x16),0.904748,1-10^-1.021
PR_GET_SECCOMP(0x15),0.868218,1-10^-0.880
PR_GET_TIMERSLACK(0x1e),0.760611,1-10^-0.621
PR_SET_SECUREBITS(0x1c),0.617493,1-10^-0.417
PR_GET_SECUREBITS(0x1b),0.310459,1-10^-0.161
PR_CAPBSET_READ(0x17),0.230737,1-10^-0.114
PR_MCE_KILL(0x21),0.023592,1-10^-0.010
PR_GET_PDEATHSIG(0x2),0.005751,1-10^-0.003
PR_SET_MM(0x23),0.004207,1-10^-0.002
PR_SET_PTRACER_ANY(0xffffffff),0.001423,1-10^-0.001
PR_GET_FPEMU(0x9),0.000112,1-10^-0.000
PR_MCE_KILL_GET(0x22),0.000112,1-10^-0.000
PR_GET_UNALIGN(0x5),0.000092,1-10^-0.000
PR_SET_UNALIGN(0x6),0.000092,1-10^-0.000
PR_SET_FPEMU(0xa),0.000092,1-10^-0.000
PR_GET_FPEXC(0xb),0.000019,1-10^-0.000
PR_GET_TIMING(0xd),0.000019,1-10^-0.000
PR_GET_ENDIAN(0x13),0.000019,1-10^-0.000
PR_GET_TSC(0x19),0.000019,1-10^-0.000
PR_SET_CHILD_SUBREAPER(0x25),0.000019,1-10^-0.000
PR_GET_NO_NEW_PRIVS(0x27),0.000019,1-10^-0.000
PR_GET_TID_ADDRESS(0x28),0.000019,1-10^-0.000
PR_SET_TSC(0x1a),0.000016,1-10^-0.000
PR_GET_THP_DISABLE(0x2a),0.000000,1-10^-0.000
PR_SET_THP_DISABLE(0x29),0.000000,1-10^-0.000
PR_MPX_DISABLE_MANAGEMENT(0x2c),0.000000,1-10^-0.000
PR_MPX_ENABLE_MANAGEMENT(0x2b),0.000000,1-10^-0.000
PR_SET_TIMING(0xe),0.000000,1-10^-0.000
PR_SET_ENDIAN(0x14),0.000000,1-10^-0.000
PR_SET_FPEXC(0xc),0.000000,1-10^-0.000
PR_TASK_PERF_EVENTS_DISABLE(0x1f),0.000000,1-10^-0.000
PR_TASK_PERF_EVENTS_ENABLE(0x20),0.000000,1-10^-0.000
